Date,Away,Away_Abbr,Home,Home_Abbr,Away_G,Home_G,Total,Eligible,Lambda,Line,Over_Odds,Under_Odds,P_Over,P_Under,Lean,Actual_Result,Graded,Hit,Profit
2024-10-19,Washington Capitals,WSH,New Jersey Devils,NJD,6,5,11,False,,,,,,,,,False,,
2024-10-19,Detroit Red Wings,DET,Nashville Predators,NSH,5,2,7,False,,,,,,,,,False,,
2024-10-19,Montreal Canadiens,MTL,New York Islanders,NYI,3,4,7,False,,,,,,,,,False,,
2024-10-19,Tampa Bay Lightning,TBL,Ottawa Senators,OTT,4,5,9,False,,,,,,,,,False,,
2024-10-19,Vancouver Canucks,VAN,Philadelphia Flyers,PHI,3,0,3,False,,,,,,,,,False,,
2024-10-19,Calgary Flames,CGY,Seattle Kraken,SEA,1,2,3,False,,,,,,,,,False,,
2024-10-19,Carolina Hurricanes,CAR,St. Louis Blues,STL,3,4,7,False,,,,,,,,,False,,
2024-10-19,New York Rangers,NYR,Toronto Maple Leafs,TOR,4,1,5,False,,,,,,,,,False,,
2024-10-19,Boston Bruins,BOS,Utah Hockey Club,UTA,1,2,3,False,,,,,,,,,False,,
2024-10-20,Los Angeles Kings,LAK,Anaheim Ducks,ANA,4,1,5,False,,,,,,,,,False,,
2024-10-20,Colorado Avalanche,COL,San Jose Sharks,SJS,4,1,5,False,,,,,,,,,False,,
2024-10-20,Pittsburgh Penguins,PIT,Winnipeg Jets,WPG,3,6,9,False,,,,,,,,,False,,
2024-10-21,Tampa Bay Lightning,TBL,Toronto Maple Leafs,TOR,2,5,7,False,,,,,,,,,False,,
2024-10-22,San Jose Sharks,SJS,Anaheim Ducks,ANA,1,3,4,False,,,,,,,,,False,,
2024-10-22,Dallas Stars,DAL,Buffalo Sabres,BUF,2,4,6,False,,,,,,,,,False,,
2024-10-22,Toronto Maple Leafs,TOR,Columbus Blue Jackets,CBJ,2,6,8,False,,,,,,,,,False,,
2024-10-22,Pittsburgh Penguins,PIT,Calgary Flames,CGY,3,4,7,False,,,,,,,,,False,,
2024-10-22,Vancouver Canucks,VAN,Chicago Blackhawks,CHI,6,3,9,False,,,,,,,,,False,,
2024-10-22,Carolina Hurricanes,CAR,Edmonton Oilers,EDM,3,2,5,False,,,,,,,,,False,,
2024-10-22,Minnesota Wild,MIN,Florida Panthers,FLA,5,1,6,False,,,,,,,,,False,,
2024-10-22,New York Rangers,NYR,Montreal Canadiens,MTL,7,2,9,False,,,,,,,,,False,,
2024-10-22,Tampa Bay Lightning,TBL,New Jersey Devils,NJD,8,5,13,False,,,,,,,,,False,,
2024-10-22,Boston Bruins,BOS,Nashville Predators,NSH,0,4,4,False,,,,,,,,,False,,
2024-10-22,Detroit Red Wings,DET,New York Islanders,NYI,1,0,1,False,,,,,,,,,False,,
2024-10-22,Washington Capitals,WSH,Philadelphia Flyers,PHI,4,1,5,False,,,,,,,,,False,,
2024-10-22,Colorado Avalanche,COL,Seattle Kraken,SEA,3,2,5,False,,,,,,,,,False,,
2024-10-22,Winnipeg Jets,WPG,St. Louis Blues,STL,3,2,5,False,,,,,,,,,False,,
2024-10-22,Ottawa Senators,OTT,Utah Hockey Club,UTA,4,0,4,False,,,,,,,,,False,,
2024-10-22,Los Angeles Kings,LAK,Vegas Golden Knights,VGK,1,6,7,False,,,,,,,,,False,,
2024-10-23,Philadelphia Flyers,PHI,Washington Capitals,WSH,3,6,9,False,,,,,,,,,False,,
2024-10-24,Dallas Stars,DAL,Boston Bruins,BOS,5,2,7,False,,,,,,,,,False,,
2024-10-24,Carolina Hurricanes,CAR,Calgary Flames,CGY,4,2,6,False,,,,,,,,,False,,
2024-10-24,New Jersey Devils,NJD,Detroit Red Wings,DET,3,5,8,False,,,,,,,,,False,,
2024-10-24,San Jose Sharks,SJS,Los Angeles Kings,LAK,2,3,5,False,,,,,,,,,False,,
2024-10-24,Florida Panthers,FLA,New York Rangers,NYR,3,1,4,False,,,,,,,,,False,,
2024-10-24,Winnipeg Jets,WPG,Seattle Kraken,SEA,4,3,7,False,,,,,,,,,False,,
2024-10-24,Minnesota Wild,MIN,Tampa Bay Lightning,TBL,4,2,6,False,,,,,,,,,False,,
2024-10-24,St. Louis Blues,STL,Toronto Maple Leafs,TOR,5,1,6,False,,,,,,,,,False,,
2024-10-24,Colorado Avalanche,COL,Utah Hockey Club,UTA,5,1,6,False,,,,,,,,,False,,
2024-10-25,Nashville Predators,NSH,Chicago Blackhawks,CHI,3,2,5,False,,,,,,,,,False,,
2024-10-25,Pittsburgh Penguins,PIT,Edmonton Oilers,EDM,0,4,4,False,,,,,,,,,False,,
2024-10-25,New York Islanders,NYI,New Jersey Devils,NJD,4,3,7,False,,,,,,,,,False,,
2024-10-25,Ottawa Senators,OTT,Vegas Golden Knights,VGK,4,6,10,False,,,,,,,,,False,,
2024-10-26,Toronto Maple Leafs,TOR,Boston Bruins,BOS,3,4,7,False,,,,,,,,,False,,
2024-10-26,Detroit Red Wings,DET,Buffalo Sabres,BUF,3,5,8,False,,,,,,,,,False,,
2024-10-26,Winnipeg Jets,WPG,Calgary Flames,CGY,5,3,8,False,,,,,,,,,False,,
2024-10-26,Chicago Blackhawks,CHI,Dallas Stars,DAL,2,4,6,False,,,,,,,,,False,,
2024-10-26,Utah Hockey Club,UTA,Los Angeles Kings,LAK,2,3,5,False,,,,,,,,,False,,
2024-10-26,St. Louis Blues,STL,Montreal Canadiens,MTL,2,5,7,False,,,,,,,,,False,,
2024-10-26,Columbus Blue Jackets,CBJ,Nashville Predators,NSH,3,4,7,False,,,,,,,,,False,,
2024-10-26,Florida Panthers,FLA,New York Islanders,NYI,6,3,9,False,,,,,,,,,False,,
2024-10-26,Anaheim Ducks,ANA,New York Rangers,NYR,1,2,3,False,,,,,,,,,False,,
2024-10-26,Minnesota Wild,MIN,Philadelphia Flyers,PHI,5,7,12,False,,,,,,,,,False,,
2024-10-26,Carolina Hurricanes,CAR,Seattle Kraken,SEA,4,1,5,False,,,,,,,,,False,,
2024-10-26,Washington Capitals,WSH,Tampa Bay Lightning,TBL,0,3,3,False,,,,,,,,,False,,
2024-10-26,Pittsburgh Penguins,PIT,Vancouver Canucks,VAN,3,4,7,False,,,,,,,,,False,,
2024-10-26,San Jose Sharks,SJS,Vegas Golden Knights,VGK,3,7,10,False,,,,,,,,,False,,
2024-10-27,Ottawa Senators,OTT,Colorado Avalanche,COL,4,5,9,False,,,,,,,,,False,,
2024-10-27,Edmonton Oilers,EDM,Detroit Red Wings,DET,3,2,5,False,,,,,,,,,False,,
2024-10-27,Anaheim Ducks,ANA,New Jersey Devils,NJD,2,6,8,False,,,,,,,,,False,,
2024-10-27,Montreal Canadiens,MTL,Philadelphia Flyers,PHI,4,3,7,False,,,,,,,,,False,,
2024-10-28,Florida Panthers,FLA,Buffalo Sabres,BUF,5,2,7,False,,,,,,,,,False,,
2024-10-28,Edmonton Oilers,EDM,Columbus Blue Jackets,CBJ,1,6,7,False,,,,,,,,,False,,
2024-10-28,Chicago Blackhawks,CHI,Colorado Avalanche,COL,5,2,7,False,,,,,,,,,False,,
2024-10-28,Nashville Predators,NSH,Tampa Bay Lightning,TBL,2,3,5,False,,,,,,,,,False,,
2024-10-28,San Jose Sharks,SJS,Utah Hockey Club,UTA,5,4,9,False,,,,,,,,,False,,
2024-10-28,Carolina Hurricanes,CAR,Vancouver Canucks,VAN,4,3,7,False,,,,,,,,,False,,
2024-10-28,Calgary Flames,CGY,Vegas Golden Knights,VGK,0,5,5,False,,,,,,,,,False,,
2024-10-28,Toronto Maple Leafs,TOR,Winnipeg Jets,WPG,6,4,10,False,,,,,,,,,False,,
2024-10-29,Philadelphia Flyers,PHI,Boston Bruins,BOS,2,0,2,False,,,,,,,,,False,,
2024-10-29,Seattle Kraken,SEA,Montreal Canadiens,MTL,8,2,10,False,,,,,,,,,False,,
2024-10-29,Anaheim Ducks,ANA,New York Islanders,NYI,3,1,4,False,,,,,,,,,False,,
2024-10-29,St. Louis Blues,STL,Ottawa Senators,OTT,1,8,9,False,,,,,,,,,False,,
2024-10-29,Minnesota Wild,MIN,Pittsburgh Penguins,PIT,5,3,8,False,,,,,,,,,False,,
2024-10-29,Los Angeles Kings,LAK,San Jose Sharks,SJS,2,4,6,False,,,,,,,,,False,,
2024-10-29,New York Rangers,NYR,Washington Capitals,WSH,3,5,8,False,,,,,,,,,False,,
2024-10-30,New York Islanders,NYI,Columbus Blue Jackets,CBJ,0,2,2,False,,,,,,,,,False,,
2024-10-30,Tampa Bay Lightning,TBL,Colorado Avalanche,COL,5,2,7,False,,,,,,,,,False,,
2024-10-30,Winnipeg Jets,WPG,Detroit Red Wings,DET,6,2,8,False,,,,,,,,,False,,
2024-10-30,Vegas Golden Knights,VGK,Los Angeles Kings,LAK,3,6,9,True,6.8870,6.0,-125,108,0.6846,0.3154,Over,Over,True,True,80.00
2024-10-30,Calgary Flames,CGY,Utah Hockey Club,UTA,1,5,6,False,,,,,,,,,False,,
2024-10-30,New Jersey Devils,NJD,Vancouver Canucks,VAN,6,0,6,False,,,,,,,,,False,,
2024-10-31,Boston Bruins,BOS,Carolina Hurricanes,CAR,2,8,10,False,,,,,,,,,False,,
2024-10-31,Edmonton Oilers,EDM,Nashville Predators,NSH,5,1,6,False,,,,,,,,,False,,
2024-10-31,St. Louis Blues,STL,Philadelphia Flyers,PHI,1,2,3,True,6.4684,6.0,104,-122,0.6263,0.3737,Over,Under,True,False,-100.00
2024-10-31,Anaheim Ducks,ANA,Pittsburgh Penguins,PIT,1,2,3,False,,,,,,,,,False,,
2024-10-31,Chicago Blackhawks,CHI,San Jose Sharks,SJS,2,3,5,True,6.3079,6.0,-120,102,0.6024,0.3976,Over,Under,True,False,-100.00
2024-10-31,Seattle Kraken,SEA,Toronto Maple Leafs,TOR,1,4,5,True,6.6320,6.0,-120,-100,0.6498,0.3502,Over,Under,True,False,-100.00
2024-10-31,Montreal Canadiens,MTL,Washington Capitals,WSH,3,6,9,False,,,,,,,,,False,,
2024-11-01,New York Islanders,NYI,Buffalo Sabres,BUF,4,3,7,True,5.9204,5.5,-120,-100,0.5415,0.4585,Toss-up,Over,False,False,
2024-11-01,Winnipeg Jets,WPG,Columbus Blue Jackets,CBJ,6,2,8,False,,,,,,,,,False,,
2024-11-01,New Jersey Devils,NJD,Calgary Flames,CGY,0,3,3,True,6.7178,6.5,-130,110,0.5074,0.4926,Toss-up,Under,False,False,
2024-11-01,Florida Panthers,FLA,Dallas Stars,DAL,6,4,10,False,,,,,,,,,False,,
2024-11-01,Tampa Bay Lightning,TBL,Minnesota Wild,MIN,3,5,8,False,,,,,,,,,False,,
2024-11-01,Ottawa Senators,OTT,New York Rangers,NYR,1,2,3,False,,,,,,,,,False,,
2024-11-02,Buffalo Sabres,BUF,Detroit Red Wings,DET,1,2,3,True,6.5245,6.5,-101,-117,0.4773,0.5227,Toss-up,Under,False,False,
2024-11-02,Dallas Stars,DAL,Florida Panthers,FLA,2,4,6,True,6.3599,6.5,-103,-115,0.4513,0.5487,Toss-up,Under,False,False,
2024-11-02,Chicago Blackhawks,CHI,Los Angeles Kings,LAK,4,3,7,True,6.2381,6.0,-122,105,0.5918,0.4082,Toss-up,Over,False,False,
2024-11-02,Colorado Avalanche,COL,Nashville Predators,NSH,2,5,7,True,6.6943,6.5,-109,-110,0.5038,0.4962,Toss-up,Over,False,False,
2024-11-02,Seattle Kraken,SEA,Ottawa Senators,OTT,0,3,3,True,6.8262,6.5,110,-128,0.5241,0.4759,Toss-up,Under,False,False,
2024-11-02,Boston Bruins,BOS,Philadelphia Flyers,PHI,3,0,3,True,6.3440,6.0,-103,-116,0.6079,0.3921,Over,Under,True,False,-100.00
2024-11-02,Montreal Canadiens,MTL,Pittsburgh Penguins,PIT,1,3,4,True,7.0991,6.5,-127,108,0.5649,0.4351,Toss-up,Under,False,False,
2024-11-02,Vancouver Canucks,VAN,San Jose Sharks,SJS,3,2,5,False,,,,,,,,,False,,
2024-11-02,Toronto Maple Leafs,TOR,St. Louis Blues,STL,2,4,6,True,6.1082,6.0,-118,-100,0.5715,0.4285,Toss-up,Push,False,False,
2024-11-02,Utah Hockey Club,UTA,Vegas Golden Knights,VGK,3,4,7,True,7.1209,6.5,-102,-116,0.5681,0.4319,Toss-up,Over,False,False,
2024-11-02,Columbus Blue Jackets,CBJ,Washington Capitals,WSH,2,7,9,False,,,,,,,,,False,,
2024-11-03,Chicago Blackhawks,CHI,Anaheim Ducks,ANA,4,2,6,True,5.4518,6.5,-115,-105,0.3064,0.6936,Under,Under,True,True,95.24
2024-11-03,Seattle Kraken,SEA,Boston Bruins,BOS,0,2,2,True,6.0250,6.0,-101,-118,0.5583,0.4417,Toss-up,Under,False,False,
2024-11-03,Washington Capitals,WSH,Carolina Hurricanes,CAR,2,4,6,False,,,,,,,,,False,,
2024-11-03,Edmonton Oilers,EDM,Calgary Flames,CGY,4,2,6,True,5.7916,6.5,-115,-105,0.3603,0.6397,Under,Under,True,True,95.24
2024-11-03,Toronto Maple Leafs,TOR,Minnesota Wild,MIN,1,2,3,True,6.5731,6.0,-120,-100,0.6415,0.3585,Over,Under,True,False,-100.00
2024-11-03,New York Islanders,NYI,New York Rangers,NYR,2,5,7,True,5.6214,6.0,102,-120,0.4918,0.5082,Toss-up,Over,False,False,
2024-11-03,Tampa Bay Lightning,TBL,Winnipeg Jets,WPG,4,7,11,True,7.0239,6.5,101,-119,0.5538,0.4462,Toss-up,Over,False,False,
2024-11-04,New Jersey Devils,NJD,Edmonton Oilers,EDM,3,0,3,True,6.1817,6.5,-130,113,0.4228,0.5772,Toss-up,Under,False,False,
2024-11-04,Los Angeles Kings,LAK,Nashville Predators,NSH,3,0,3,True,6.3402,6.0,-104,-114,0.6073,0.3927,Over,Under,True,False,-100.00
2024-11-05,Vancouver Canucks,VAN,Anaheim Ducks,ANA,5,1,6,True,5.5858,6.0,-118,-101,0.4857,0.5143,Toss-up,Push,False,False,
2024-11-05,Ottawa Senators,OTT,Buffalo Sabres,BUF,1,5,6,True,6.6492,6.0,-115,-103,0.6523,0.3477,Over,Push,False,False,
2024-11-05,Philadelphia Flyers,PHI,Carolina Hurricanes,CAR,4,6,10,True,6.2420,6.0,-125,107,0.5924,0.4076,Toss-up,Over,False,False,
2024-11-05,Seattle Kraken,SEA,Colorado Avalanche,COL,3,6,9,True,6.5168,6.5,101,-119,0.4761,0.5239,Toss-up,Over,False,False,
2024-11-05,Los Angeles Kings,LAK,Minnesota Wild,MIN,5,1,6,True,6.2700,6.0,-105,-115,0.5967,0.4033,Toss-up,Push,False,False,
2024-11-05,Calgary Flames,CGY,Montreal Canadiens,MTL,3,2,5,True,6.4340,6.5,-105,-113,0.4631,0.5369,Toss-up,Under,False,False,
2024-11-05,Pittsburgh Penguins,PIT,New York Islanders,NYI,3,4,7,True,5.9289,6.0,-116,-103,0.5428,0.4572,Toss-up,Over,False,False,
2024-11-05,Columbus Blue Jackets,CBJ,San Jose Sharks,SJS,1,2,3,True,6.6503,6.5,-107,-112,0.4970,0.5030,Toss-up,Under,False,False,
2024-11-05,Tampa Bay Lightning,TBL,St. Louis Blues,STL,2,3,5,True,6.5504,6.0,-110,-109,0.6382,0.3618,Over,Under,True,False,-100.00
2024-11-05,Boston Bruins,BOS,Toronto Maple Leafs,TOR,0,4,4,True,5.7746,5.5,-110,-108,0.5175,0.4825,Toss-up,Under,False,False,
2024-11-05,Utah Hockey Club,UTA,Winnipeg Jets,WPG,0,3,3,True,7.2143,6.0,-115,-102,0.7258,0.2742,Over,Under,True,False,-100.00
2024-11-06,Detroit Red Wings,DET,Chicago Blackhawks,CHI,4,1,5,True,5.8914,6.5,-103,-115,0.3763,0.6237,Under,Under,True,True,86.96
2024-11-06,Vegas Golden Knights,VGK,Edmonton Oilers,EDM,4,2,6,True,6.5148,6.5,-115,-102,0.4758,0.5242,Toss-up,Under,False,False,
2024-11-06,Nashville Predators,NSH,Washington Capitals,WSH,2,3,5,True,6.5081,6.0,-118,-100,0.6321,0.3679,Over,Under,True,False,-100.00
2024-11-07,Calgary Flames,CGY,Boston Bruins,BOS,3,4,7,True,5.5681,6.0,-110,-110,0.4827,0.5173,Toss-up,Over,False,False,
2024-11-07,Pittsburgh Penguins,PIT,Carolina Hurricanes,CAR,1,5,6,True,6.7763,6.5,-116,-102,0.5165,0.4835,Toss-up,Under,False,False,
2024-11-07,Chicago Blackhawks,CHI,Dallas Stars,DAL,1,3,4,True,5.8618,6.0,-122,104,0.5319,0.4681,Toss-up,Under,False,False,
2024-11-07,Nashville Predators,NSH,Florida Panthers,FLA,2,6,8,True,6.2913,6.0,-110,-110,0.5999,0.4001,Toss-up,Over,False,False,
2024-11-07,Vancouver Canucks,VAN,Los Angeles Kings,LAK,4,2,6,True,6.2074,5.5,-117,-101,0.5870,0.4130,Toss-up,Over,False,False,
2024-11-07,Montreal Canadiens,MTL,New Jersey Devils,NJD,3,5,8,True,6.6523,6.5,-110,-110,0.4973,0.5027,Toss-up,Over,False,False,
2024-11-07,Buffalo Sabres,BUF,New York Rangers,NYR,6,1,7,True,6.2645,6.5,-115,-105,0.4361,0.5639,Toss-up,Over,False,False,
2024-11-07,New York Islanders,NYI,Ottawa Senators,OTT,4,2,6,True,6.0860,6.0,-110,-103,0.5680,0.4320,Toss-up,Push,False,False,
2024-11-07,Minnesota Wild,MIN,San Jose Sharks,SJS,5,2,7,True,6.1601,6.0,-106,-113,0.5797,0.4203,Toss-up,Over,False,False,
2024-11-07,Utah Hockey Club,UTA,St. Louis Blues,STL,4,2,6,True,5.9034,6.0,107,-125,0.5387,0.4613,Toss-up,Push,False,False,
2024-11-07,Philadelphia Flyers,PHI,Tampa Bay Lightning,TBL,2,1,3,True,6.8108,6.5,-104,-116,0.5217,0.4783,Toss-up,Under,False,False,
2024-11-07,Colorado Avalanche,COL,Winnipeg Jets,WPG,0,1,1,True,7.6275,6.5,-115,-105,0.6391,0.3609,Over,Under,True,False,-100.00
2024-11-08,Minnesota Wild,MIN,Anaheim Ducks,ANA,5,2,7,True,5.7367,5.5,-118,-100,0.5112,0.4888,Toss-up,Over,False,False,
2024-11-08,Vegas Golden Knights,VGK,Seattle Kraken,SEA,3,4,7,True,6.7820,6.0,104,-123,0.6706,0.3294,Over,Over,True,True,104.00
2024-11-08,Detroit Red Wings,DET,Toronto Maple Leafs,TOR,1,3,4,True,5.7368,6.0,-100,-120,0.5112,0.4888,Toss-up,Under,False,False,
2024-11-08,Pittsburgh Penguins,PIT,Washington Capitals,WSH,4,2,6,True,6.8974,6.5,-120,-100,0.5349,0.4651,Toss-up,Under,False,False,
2024-11-09,Ottawa Senators,OTT,Boston Bruins,BOS,3,2,5,True,6.0461,5.5,-119,101,0.5617,0.4383,Toss-up,Under,False,False,
2024-11-09,Calgary Flames,CGY,Buffalo Sabres,BUF,2,3,5,True,6.2283,6.0,-124,106,0.5903,0.4097,Toss-up,Under,False,False,
2024-11-09,Carolina Hurricanes,CAR,Colorado Avalanche,COL,4,6,10,True,6.9325,6.5,-119,100,0.5402,0.4598,Toss-up,Over,False,False,
2024-11-09,New York Rangers,NYR,Detroit Red Wings,DET,4,0,4,True,5.8276,6.5,-136,117,0.3660,0.6340,Under,Under,True,True,117.00
